# DerivedCombiningClass-12.0.0.txt
# Date: 2019-01-22, 08:18:26 GMT
# © 2019 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
#   For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Combining Class (listing UnicodeData.txt, field 3: see UAX #44: http://www.unicode.org/reports/tr44/)

#  All code points not explicitly listed for Canonical_Combining_Class
#  have the value Not_Reordered (0).

# @missing: 0000..10FFFF; Not_Reordered

# ================================================

# Canonical_Combining_Class=Not_Reordered

1A55          ; 0 # Mc       TAI THAM CONSONANT SIGN MEDIAL RA
1A56          ; 0 # Mn       TAI THAM CONSONANT SIGN MEDIAL LA
1A57          ; 0 # Mc       TAI THAM CONSONANT SIGN LA TANG LAI
1A58..1A5E    ; 0 # Mn   [7] TAI THAM SIGN MAI KANG LAI..TAI THAM CONSONANT SIGN SA
1A61          ; 0 # Mc       TAI THAM VOWEL SIGN A
1A62          ; 0 # Mn       TAI THAM VOWEL SIGN MAI SAT
1A63..1A64    ; 0 # Mc   [2] TAI THAM VOWEL SIGN AA..TAI THAM VOWEL SIGN TALL AA
1A65..1A6C    ; 0 # Mn   [8] TAI THAM VOWEL SIGN I..TAI THAM VOWEL SIGN OA BELOW
1A6D..1A72    ; 0 # Mc   [6] TAI THAM VOWEL SIGN OY..TAI THAM VOWEL SIGN THAM AI
1A73..1A74    ; 0 # Mn   [2] TAI THAM VOWEL SIGN OA ABOVE..TAI THAM SIGN MAI KANG
1A80..1A89    ; 0 # Nd  [10] TAI THAM HORA DIGIT ZERO..TAI THAM HORA DIGIT NINE
1A90..1A99    ; 0 # Nd  [10] TAI THAM THAM DIGIT ZERO..TAI THAM THAM DIGIT NINE
1AA0..1AA6    ; 0 # Po   [7] TAI THAM SIGN WIANG..TAI THAM SIGN REVERSED ROTATED RANA
1AA7          ; 0 # Lm       TAI THAM SIGN MAI YAMOK
1AA8..1AAD    ; 0 # Po   [6] TAI THAM SIGN KAAN..TAI THAM SIGN CAANG
1ABE          ; 0 # Me       COMBINING PARENTHESES OVERLAY
1B00..1B03    ; 0 # Mn   [4] BALINESE SIGN ULU RICEM..BALINESE SIGN SURANG
1B04          ; 0 # Mc       BALINESE SIGN BISAH
1B05..1B33    ; 0 # Lo  [47] BALINESE LETTER AKARA..BALINESE LETTER HA
1B35          ; 0 # Mc       BALINESE VOWEL SIGN TEDUNG
1B36..1B3A    ; 0 # Mn   [5] BALINESE VOWEL SIGN ULU..BALINESE VOWEL SIGN RA REPA
1B3B          ; 0 # Mc       BALINESE VOWEL SIGN RA REPA TEDUNG
1B3C          ; 0 # Mn       BALINESE VOWEL SIGN LA LENGA
1B3D..1B41    ; 0 # Mc   [5] BALINESE VOWEL SIGN LA LENGA TEDUNG..BALINESE VOWEL SIGN TALING REPA TEDUNG
1B42          ; 0 # Mn       BALINESE VOWEL SIGN PEPET
1B43          ; 0 # Mc       BALINESE VOWEL SIGN PEPET TEDUNG
1B45..1B4B    ; 0 # Lo   [7] BALINESE LETTER KAF SASAK..BALINESE LETTER ASYURA SASAK
1B50..1B59    ; 0 # Nd  [10] BALINESE DIGIT ZERO..BALINESE DIGIT NINE
1B5A..1B60    ; 0 # Po   [7] BALINESE PANTI..BALINESE PAMENENG
1B61..1B6A    ; 0 # So  [10] BALINESE MUSICAL SYMBOL DONG..BALINESE MUSICAL SYMBOL DANG GEDE
1B74..1B7C    ; 0 # So   [9] BALINESE MUSICAL SYMBOL RIGHT-HAND OPEN DUG..BALINESE MUSICAL SYMBOL LEFT-HAND OPEN PING
1B80..1B81    ; 0 # Mn   [2] SUNDANESE SIGN PANYECEK..SUNDANESE SIGN PANGLAYAR
1B82          ; 0 # Mc       SUNDANESE SIGN PANGWISAD
1B83..1BA0    ; 0 # Lo  [30] SUNDANESE LETTER A..SUNDANESE LETTER HA
1BA1          ; 0 # Mc       SUNDANESE CONSONANT SIGN PAMINGKAL
1BA2..1BA5    ; 0 # Mn   [4] SUNDANESE CONSONANT SIGN PANYAKRA..SUNDANESE VOWEL SIGN PANYUKU
1BA6..1BA7    ; 0 # Mc   [2] SUNDANESE VOWEL SIGN PANAELAENG..SUNDANESE VOWEL SIGN PANOLONG
1BA8..1BA9    ; 0 # Mn   [2] SUNDANESE VOWEL SIGN PAMEPET..SUNDANESE VOWEL SIGN PANEULEUNG
1BAC..1BAD    ; 0 # Mn   [2] SUNDANESE CONSONANT SIGN PASANGAN MA..SUNDANESE CONSONANT SIGN PASANGAN WA
1BAE..1BAF    ; 0 # Lo   [2] SUNDANESE LETTER KHA..SUNDANESE LETTER SYA
1BB0..1BB9    ; 0 # Nd  [10] SUNDANESE DIGIT ZERO..SUNDANESE DIGIT NINE
1BBA..1BE5    ; 0 # Lo  [44] SUNDANESE AVAGRAHA..BATAK LETTER U
1BE7          ; 0 # Mc       BATAK VOWEL SIGN E
1BE8..1BE9    ; 0 # Mn   [2] BATAK VOWEL SIGN PAKPAK E..BATAK VOWEL SIGN EE
1BEA..1BEC    ; 0 # Mc   [3] BATAK VOWEL SIGN I..BATAK VOWEL SIGN O
1BED          ; 0 # Mn       BATAK VOWEL SIGN KARO O
1BEE          ; 0 # Mc       BATAK VOWEL SIGN U
1BEF..1BF1    ; 0 # Mn   [3] BATAK VOWEL SIGN U FOR SIMALUNGUN SA..BATAK CONSONANT SIGN H
1BFC..1BFF    ; 0 # Po   [4] BATAK SYMBOL BINDU NA METEK..BATAK SYMBOL BINDU PANGOLAT
1C00..1C23    ; 0 # Lo  [36] LEPCHA LETTER KA..LEPCHA LETTER A
1C24..1C2B    ; 0 # Mc   [8] LEPCHA SUBJOINED LETTER YA..LEPCHA VOWEL SIGN UU
1C2C..1C33    ; 0 # Mn   [8] LEPCHA VOWEL SIGN E..LEPCHA CONSONANT SIGN T
1C34..1C35    ; 0 # Mc   [2] LEPCHA CONSONANT SIGN NYIN-DO..LEPCHA CONSONANT SIGN KANG
1C36          ; 0 # Mn       LEPCHA SIGN RAN
1C3B..1C3F    ; 0 # Po   [5] LEPCHA PUNCTUATION TA-ROL..LEPCHA PUNCTUATION TSHOOK
1C40..1C49    ; 0 # Nd  [10] LEPCHA DIGIT ZERO..LEPCHA DIGIT NINE
1C4D..1C4F    ; 0 # Lo   [3] LEPCHA LETTER TTA..LEPCHA LETTER DDA
1C50..1C59    ; 0 # Nd  [10] OL CHIKI DIGIT ZERO..OL CHIKI DIGIT NINE
1C5A..1C77    ; 0 # Lo  [30] OL CHIKI LETTER LA..OL CHIKI LETTER OH
1C78..1C7D    ; 0 # Lm   [6] OL CHIKI MU TTUDDAG..OL CHIKI AHAD
1C7E..1C7F    ; 0 # Po   [2] OL CHIKI PUNCTUATION MUCAAD..OL CHIKI PUNCTUATION DOUBLE MUCAAD
1C80..1C88    ; 0 # L&   [9] CYRILLIC SMALL LETTER ROUNDED VE..CYRILLIC SMALL LETTER UNBLENDED UK
1C90..1CBA    ; 0 # L&  [43] GEORGIAN MTAVRULI CAPITAL LETTER AN..GEORGIAN MTAVRULI CAPITAL LETTER AIN
1CBD..1CBF    ; 0 # L&   [3] GEORGIAN MTAVRULI CAPITAL LETTER AEN..GEORGIAN MTAVRULI CAPITAL LETTER LABIAL SIGN
1CC0..1CC7    ; 0 # Po   [8] SUNDANESE PUNCTUATION BINDU SURYA..SUNDANESE PUNCTUATION BINDU BA SATANGA
1CD3          ; 0 # Po       VEDIC SIGN NIHSHVASA
1CE1          ; 0 # Mc       VEDIC TONE ATHARVAVEDIC INDEPENDENT SVARITA
1CE9..1CEC    ; 0 # Lo   [4] VEDIC SIGN ANUSVARA ANTARGOMUKHA..VEDIC SIGN ANUSVARA VAMAGOMUKHA WITH TAIL
1CEE..1CF3    ; 0 # Lo   [6] VEDIC SIGN HEXIFORM LONG ANUSVARA..VEDIC SIGN ROTATED ARDHAVISARGA
1CF5..1CF6    ; 0 # Lo   [2] VEDIC SIGN JIHVAMULIYA..VEDIC SIGN UPADHMANIYA
1CF7          ; 0 # Mc       VEDIC SIGN ATIKRAMA
1CFA          ; 0 # Lo       VEDIC SIGN DOUBLE ANUSVARA ANTARGOMUKHA
1D00..1D2B    ; 0 # L&  [44] LATIN LETTER SMALL CAPITAL A..CYRILLIC LETTER SMALL CAPITAL EL
1D2C..1D6A    ; 0 # Lm  [63] MODIFIER LETTER CAPITAL A..GREEK SUBSCRIPT SMALL LETTER CHI
1D6B..1D77    ; 0 # L&  [13] LATIN SMALL LETTER UE..LATIN SMALL LETTER TURNED G
1D78          ; 0 # Lm       MODIFIER LETTER CYRILLIC EN
1D79..1D9A    ; 0 # L&  [34] LATIN SMALL LETTER INSULAR G..LATIN SMALL LETTER EZH WITH RETROFLEX HOOK
1D9B..1DBF    ; 0 # Lm  [37] MODIFIER LETTER SMALL TURNED ALPHA..MODIFIER LETTER SMALL THETA
1E00..1F15    ; 0 # L& [278] LATIN CAPITAL LETTER A WITH RING BELOW..GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
1F18..1F1D    ; 0 # L&   [6] GREEK CAPITAL LETTER EPSILON WITH PSILI..GREEK CAPITAL LETTER EPSILON WITH DASIA AND OXIA
1F20..1F45    ; 0 # L&  [38] GREEK SMALL LETTER ETA WITH PSILI..GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
1F48..1F4D    ; 0 # L&   [6] GREEK CAPITAL LETTER OMICRON WITH PSILI..GREEK CAPITAL LETTER OMICRON WITH DASIA AND OXIA
1F50..1F57    ; 0 # L&   [8] GREEK SMALL LETTER UPSILON WITH PSILI..GREEK SMALL LETTER UPSILON WITH DASIA AND PERISPOMENI
1F59          ; 0 # L&       GREEK CAPITAL LETTER UPSILON WITH DASIA
1F5B          ; 0 # L&       GREEK CAPITAL LETTER UPSILON WITH DASIA AND VARIA
1F5D          ; 0 # L&       GREEK CAPITAL LETTER UPSILON WITH DASIA AND OXIA
1F5F..1F7D    ; 0 # L&  [31] GREEK CAPITAL LETTER UPSILON WITH DASIA AND PERISPOMENI..GREEK SMALL LETTER OMEGA WITH OXIA
1F80..1FB4    ; 0 # L&  [53] GREEK SMALL LETTER ALPHA WITH PSILI AND YPOGEGRAMMENI..GREEK SMALL LETTER ALPHA WITH OXIA AND YPOGEGRAMMENI
1FB6..1FBC    ; 0 # L&   [7] GREEK SMALL LETTER ALPHA WITH PERISPOMENI..GREEK CAPITAL LETTER ALPHA WITH PROSGEGRAMMENI
1FBD          ; 0 # Sk       GREEK KORONIS
1FBE          ; 0 # L&       GREEK PROSGEGRAMMENI
1FBF..1FC1    ; 0 # Sk   [3] GREEK PSILI..GREEK DIALYTIKA AND PERISPOMENI
1FC2..1FC4    ; 0 # L&   [3] GREEK SMALL LETTER ETA WITH VARIA AND YPOGEGRAMMENI..GREEK SMALL LETTER ETA WITH OXIA AND YPOGEGRAMMENI
1FC6..1FCC    ; 0 # L&   [7] GREEK SMALL LETTER ETA WITH PERISPOMENI..GREEK CAPITAL LETTER ETA WITH PROSGEGRAMMENI
1FCD..1FCF    ; 0 # Sk   [3] GREEK PSILI AND VARIA..GREEK PSILI AND PERISPOMENI
1FD0..1FD3    ; 0 # L&   [4] GREEK SMALL LETTER IOTA WITH VRACHY..GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA
1FD6..1FDB    ; 0 # L&   [6] GREEK SMALL LETTER IOTA WITH PERISPOMENI..GREEK CAPITAL LETTER IOTA WITH OXIA
1FDD..1FDF    ; 0 # Sk   [3] GREEK DASIA AND VARIA..GREEK DASIA AND PERISPOMENI
1FE0..1FEC    ; 0 # L&  [13] GREEK SMALL LETTER UPSILON WITH VRACHY..GREEK CAPITAL LETTER RHO WITH DASIA
1FED..1FEF    ; 0 # Sk   [3] GREEK DIALYTIKA AND VARIA..GREEK VARIA
1FF2..1FF4    ; 0 # L&   [3] GREEK SMALL LETTER OMEGA WITH VARIA AND YPOGEGRAMMENI..GREEK SMALL LETTER OMEGA WITH OXIA AND YPOGEGRAMMENI
1FF6..1FFC    ; 0 # L&   [7] GREEK SMALL LETTER OMEGA WITH PERISPOMENI..GREEK CAPITAL LETTER OMEGA WITH PROSGEGRAMMENI
1FFD..1FFE    ; 0 # Sk   [2] GREEK OXIA..GREEK DASIA
2000..200A    ; 0 # Zs  [11] EN QUAD..HAIR SPACE
200B..200F    ; 0 # Cf   [5] ZERO WIDTH SPACE..RIGHT-TO-LEFT MARK
2010..2015    ; 0 # Pd   [6] HYPHEN..HORIZONTAL BAR
2016..2017    ; 0 # Po   [2] DOUBLE VERTICAL LINE..DOUBLE LOW LINE
2018          ; 0 # Pi       LEFT SINGLE QUOTATION MARK
2019          ; 0 # Pf       RIGHT SINGLE QUOTATION MARK
201A          ; 0 # Ps       SINGLE LOW-9 QUOTATION MARK
201B..201C    ; 0 # Pi   [2] SINGLE HIGH-REVERSED-9 QUOTATION MARK..LEFT DOUBLE QUOTATION MARK
201D          ; 0 # Pf       RIGHT DOUBLE QUOTATION MARK
201E          ; 0 # Ps       DOUBLE LOW-9 QUOTATION MARK
201F          ; 0 # Pi       DOUBLE HIGH-REVERSED-9 QUOTATION MARK
2020..2027    ; 0 # Po   [8] DAGGER..HYPHENATION POINT
2028          ; 0 # Zl       LINE SEPARATOR
2029          ; 0 # Zp       PARAGRAPH SEPARATOR
202A..202E    ; 0 # Cf   [5] LEFT-TO-RIGHT EMBEDDING..RIGHT-TO-LEFT OVERRIDE
202F          ; 0 # Zs       NARROW NO-BREAK SPACE
2030..2038    ; 0 # Po   [9] PER MILLE SIGN..CARET
2039          ; 0 # Pi       SINGLE LEFT-POINTING ANGLE QUOTATION MARK
203A          ; 0 # Pf       SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
203B..203E    ; 0 # Po   [4] REFERENCE MARK..OVERLINE
203F..2040    ; 0 # Pc   [2] UNDERTIE..CHARACTER TIE
2041..2043    ; 0 # Po   [3] CARET INSERTION POINT..HYPHEN BULLET
2044          ; 0 # Sm       FRACTION SLASH
2045          ; 0 # Ps       LEFT SQUARE BRACKET WITH QUILL
2046          ; 0 # Pe       RIGHT SQUARE BRACKET WITH QUILL
2047..2051    ; 0 # Po  [11] DOUBLE QUESTION MARK..TWO ASTERISKS ALIGNED VERTICALLY
2052          ; 0 # Sm       COMMERCIAL MINUS SIGN
2053          ; 0 # Po       SWUNG DASH
2054          ; 0 # Pc       INVERTED UNDERTIE
2055..205E    ; 0 # Po  [10] FLOWER PUNCTUATION MARK..VERTICAL FOUR DOTS
205F          ; 0 # Zs       MEDIUM MATHEMATICAL SPACE
2060..2064    ; 0 # Cf   [5] WORD JOINER..INVISIBLE PLUS
2066..206F    ; 0 # Cf  [10] LEFT-TO-RIGHT ISOLATE..NOMINAL DIGIT SHAPES
2070          ; 0 # No       SUPERSCRIPT ZERO
2071          ; 0 # Lm       SUPERSCRIPT LATIN SMALL LETTER I
2074..2079    ; 0 # No   [6] SUPERSCRIPT FOUR..SUPERSCRIPT NINE
207A..207C    ; 0 # Sm   [3] SUPERSCRIPT PLUS SIGN..SUPERSCRIPT EQUALS SIGN
207D          ; 0 # Ps       SUPERSCRIPT LEFT PARENTHESIS
207E          ; 0 # Pe       SUPERSCRIPT RIGHT PARENTHESIS
207F          ; 0 # Lm       SUPERSCRIPT LATIN SMALL LETTER N
2080..2089    ; 0 # No  [10] SUBSCRIPT ZERO..SUBSCRIPT NINE
208A..208C    ; 0 # Sm   [3] SUBSCRIPT PLUS SIGN..SUBSCRIPT EQUALS SIGN
208D          ; 0 # Ps       SUBSCRIPT LEFT PARENTHESIS
208E          ; 0 # Pe       SUBSCRIPT RIGHT PARENTHESIS
2090..209C    ; 0 # Lm  [13] LATIN SUBSCRIPT SMALL LETTER A..LATIN SUBSCRIPT SMALL LETTER T
20A0..20BF    ; 0 # Sc  [32] EURO-CURRENCY SIGN..BITCOIN SIGN
20DD..20E0    ; 0 # Me   [4] COMBINING ENCLOSING CIRCLE..COMBINING ENCLOSING CIRCLE BACKSLASH
20E2..20E4    ; 0 # Me   [3] COMBINING ENCLOSING SCREEN..COMBINING ENCLOSING UPWARD POINTING TRIANGLE
2100..2101    ; 0 # So   [2] ACCOUNT OF..ADDRESSED TO THE SUBJECT
2102          ; 0 # L&       DOUBLE-STRUCK CAPITAL C
2103..2106    ; 0 # So   [4] DEGREE CELSIUS..CADA UNA
2107          ; 0 # L&       EULER CONSTANT
2108..2109    ; 0 # So   [2] SCRUPLE..DEGREE FAHRENHEIT
210A..2113    ; 0 # L&  [10] SCRIPT SMALL G..SCRIPT SMALL L
2114          ; 0 # So       L B BAR SYMBOL
2115          ; 0 # L&       DOUBLE-STRUCK CAPITAL N
2116..2117    ; 0 # So   [2] NUMERO SIGN..SOUND RECORDING COPYRIGHT
2118          ; 0 # Sm       SCRIPT CAPITAL P
2119..211D    ; 0 # L&   [5] DOUBLE-STRUCK CAPITAL P..DOUBLE-STRUCK CAPITAL R
211E..2123    ; 0 # So   [6] PRESCRIPTION TAKE..VERSICLE
2124          ; 0 # L&       DOUBLE-STRUCK CAPITAL Z
2125          ; 0 # So       OUNCE SIGN
2126          ; 0 # L&       OHM SIGN
2127          ; 0 # So       INVERTED OHM SIGN
2128          ; 0 # L&       BLACK-LETTER CAPITAL Z
2129          ; 0 # So       TURNED GREEK SMALL LETTER IOTA
212A..212D    ; 0 # L&   [4] KELVIN SIGN..BLACK-LETTER CAPITAL C
212E          ; 0 # So       ESTIMATED SYMBOL
212F..2134    ; 0 # L&   [6] SCRIPT SMALL E..SCRIPT SMALL O
2135..2138    ; 0 # Lo   [4] ALEF SYMBOL..DALET SYMBOL
2139          ; 0 # L&       INFORMATION SOURCE
213A..213B    ; 0 # So   [2] ROTATED CAPITAL Q..FACSIMILE SIGN
213C..213F    ; 0 # L&   [4] DOUBLE-STRUCK SMALL PI..DOUBLE-STRUCK CAPITAL PI
2140..2144    ; 0 # Sm   [5] DOUBLE-STRUCK N-ARY SUMMATION..TURNED SANS-SERIF CAPITAL Y
2145..2149    ; 0 # L&   [5] DOUBLE-STRUCK ITALIC CAPITAL D..DOUBLE-STRUCK ITALIC SMALL J
214A          ; 0 # So       PROPERTY LINE
214B          ; 0 # Sm       TURNED AMPERSAND
214C..214D    ; 0 # So   [2] PER SIGN..AKTIESELSKAB
214E          ; 0 # L&       TURNED SMALL F
214F          ; 0 # So       SYMBOL FOR SAMARITAN SOURCE
2150..215F    ; 0 # No  [16] VULGAR FRACTION ONE SEVENTH..FRACTION NUMERATOR ONE
2160..2182    ; 0 # Nl  [35] ROMAN NUMERAL ONE..ROMAN NUMERAL TEN THOUSAND
2183..2184    ; 0 # L&   [2] ROMAN NUMERAL REVERSED ONE HUNDRED..LATIN SMALL LETTER REVERSED C
2185..2188    ; 0 # Nl   [4] ROMAN NUMERAL SIX LATE FORM..ROMAN NUMERAL ONE HUNDRED THOUSAND
2189          ; 0 # No       VULGAR FRACTION ZERO THIRDS
218A..218B    ; 0 # So   [2] TURNED DIGIT TWO..TURNED DIGIT THREE
2190..2194    ; 0 # Sm   [5] LEFTWARDS ARROW..LEFT RIGHT ARROW
2195..2199    ; 0 # So   [5] UP DOWN ARROW..SOUTH WEST ARROW
219A..219B    ; 0 # Sm   [2] LEFTWARDS ARROW WITH STROKE..RIGHTWARDS ARROW WITH STROKE
219C..219F    ; 0 # So   [4] LEFTWARDS WAVE ARROW..UPWARDS TWO HEADED ARROW
21A0          ; 0 # Sm       RIGHTWARDS TWO HEADED ARROW
21A1..21A2    ; 0 # So   [2] DOWNWARDS TWO HEADED ARROW..LEFTWARDS ARROW WITH TAIL
21A3          ; 0 # Sm       RIGHTWARDS ARROW WITH TAIL
21A4..21A5    ; 0 # So   [2] LEFTWARDS ARROW FROM BAR..UPWARDS ARROW FROM BAR
21A6          ; 0 # Sm       RIGHTWARDS ARROW FROM BAR
21A7..21AD    ; 0 # So   [7] DOWNWARDS ARROW FROM BAR..LEFT RIGHT WAVE ARROW
21AE          ; 0 # Sm       LEFT RIGHT ARROW WITH STROKE
21AF..21CD    ; 0 # So  [31] DOWNWARDS ZIGZAG ARROW..LEFTWARDS DOUBLE ARROW WITH STROKE
21CE..21CF    ; 0 # Sm   [2] LEFT RIGHT DOUBLE ARROW WITH STROKE..RIGHTWARDS DOUBLE ARROW WITH STROKE
21D0..21D1    ; 0 # So   [2] LEFTWARDS DOUBLE ARROW..UPWARDS DOUBLE ARROW
21D2          ; 0 # Sm       RIGHTWARDS DOUBLE ARROW
21D3          ; 0 # So       DOWNWARDS DOUBLE ARROW
21D4          ; 0 # Sm       LEFT RIGHT DOUBLE ARROW
21D5..21F3    ; 0 # So  [31] UP DOWN DOUBLE ARROW..UP DOWN WHITE ARROW
21F4..22FF    ; 0 # Sm [268] RIGHT ARROW WITH SMALL CIRCLE..Z NOTATION BAG MEMBERSHIP
2300..2307    ; 0 # So   [8] DIAMETER SIGN..WAVY LINE
2308          ; 0 # Ps       LEFT CEILING
2309          ; 0 # Pe       RIGHT CEILING
230A          ; 0 # Ps       LEFT FLOOR
230B          ; 0 # Pe       RIGHT FLOOR
230C..231F    ; 0 # So  [20] BOTTOM RIGHT CROP..BOTTOM RIGHT CORNER
2320..2321    ; 0 # Sm   [2] TOP HALF INTEGRAL..BOTTOM HALF INTEGRAL
2322..2328    ; 0 # So   [7] FROWN..KEYBOARD
2329          ; 0 # Ps       LEFT-POINTING ANGLE BRACKET
232A          ; 0 # Pe       RIGHT-POINTING ANGLE BRACKET
232B..237B    ; 0 # So  [81] ERASE TO THE LEFT..NOT CHECK MARK
237C          ; 0 # Sm       RIGHT ANGLE WITH DOWNWARDS ZIGZAG ARROW
237D..239A    ; 0 # So  [30] SHOULDERED OPEN BOX..CLEAR SCREEN SYMBOL
239B..23B3    ; 0 # Sm  [25] LEFT PARENTHESIS UPPER HOOK..SUMMATION BOTTOM
23B4..23DB    ; 0 # So  [40] TOP SQUARE BRACKET..FUSE
23DC..23E1    ; 0 # Sm   [6] TOP PARENTHESIS..BOTTOM TORTOISE SHELL BRACKET
23E2..2426    ; 0 # So  [69] WHITE TRAPEZIUM..SYMBOL FOR SUBSTITUTE FORM TWO
2440..244A    ; 0 # So  [11] OCR HOOK..OCR DOUBLE BACKSLASH
2460..249B    ; 0 # No  [60] CIRCLED DIGIT ONE..NUMBER TWENTY FULL STOP
249C..24E9    ; 0 # So  [78] PARENTHESIZED LATIN SMALL LETTER A..CIRCLED LATIN SMALL LETTER Z
24EA..24FF    ; 0 # No  [22] CIRCLED DIGIT ZERO..NEGATIVE CIRCLED DIGIT ZERO
2500..25B6    ; 0 # So [183] BOX DRAWINGS LIGHT HORIZONTAL..BLACK RIGHT-POINTING TRIANGLE
25B7          ; 0 # Sm       WHITE RIGHT-POINTING TRIANGLE
25B8..25C0    ; 0 # So   [9] BLACK RIGHT-POINTING SMALL TRIANGLE..BLACK LEFT-POINTING TRIANGLE
25C1          ; 0 # Sm       WHITE LEFT-POINTING TRIANGLE
25C2..25F7    ; 0 # So  [54] BLACK LEFT-POINTING SMALL TRIANGLE..WHITE CIRCLE WITH UPPER RIGHT QUADRANT
25F8..25FF    ; 0 # Sm   [8] UPPER LEFT TRIANGLE..LOWER RIGHT TRIANGLE
2600..266E    ; 0 # So [111] BLACK SUN WITH RAYS..MUSIC NATURAL SIGN
266F          ; 0 # Sm       MUSIC SHARP SIGN
2670..2767    ; 0 # So [248] WEST SYRIAC CROSS..ROTATED FLORAL HEART BULLET
2768          ; 0 # Ps       MEDIUM LEFT PARENTHESIS ORNAMENT
2769          ; 0 # Pe       MEDIUM RIGHT PARENTHESIS ORNAMENT
276A          ; 0 # Ps       MEDIUM FLATTENED LEFT PARENTHESIS ORNAMENT
276B          ; 0 # Pe       MEDIUM FLATTENED RIGHT PARENTHESIS ORNAMENT
276C          ; 0 # Ps       MEDIUM LEFT-POINTING ANGLE BRACKET ORNAMENT
276D          ; 0 # Pe       MEDIUM RIGHT-POINTING ANGLE BRACKET ORNAMENT
276E          ; 0 # Ps       HEAVY LEFT-POINTING ANGLE QUOTATION MARK ORNAMENT
276F          ; 0 # Pe       HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT
2770          ; 0 # Ps       HEAVY LEFT-POINTING ANGLE BRACKET ORNAMENT
2771          ; 0 # Pe       HEAVY RIGHT-POINTING ANGLE BRACKET ORNAMENT
2772          ; 0 # Ps       LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT
2773          ; 0 # Pe       LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT
2774          ; 0 # Ps       MEDIUM LEFT CURLY BRACKET ORNAMENT
2775          ; 0 # Pe       MEDIUM RIGHT CURLY BRACKET ORNAMENT
2776..2793    ; 0 # No  [30] DINGBAT NEGATIVE CIRCLED DIGIT ONE..DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN
2794..27BF    ; 0 # So  [44] HEAVY WIDE-HEADED RIGHTWARDS ARROW..DOUBLE CURLY LOOP
27C0..27C4    ; 0 # Sm   [5] THREE DIMENSIONAL ANGLE..OPEN SUPERSET
27C5          ; 0 # Ps       LEFT S-SHAPED BAG DELIMITER
27C6          ; 0 # Pe       RIGHT S-SHAPED BAG DELIMITER
27C7..27E5    ; 0 # Sm  [31] OR WITH DOT INSIDE..WHITE SQUARE WITH RIGHTWARDS TICK
27E6          ; 0 # Ps       MATHEMATICAL LEFT WHITE SQUARE BRACKET
27E7          ; 0 # Pe       MATHEMATICAL RIGHT WHITE SQUARE BRACKET
27E8          ; 0 # Ps       MATHEMATICAL LEFT ANGLE BRACKET
27E9          ; 0 # Pe       MATHEMATICAL RIGHT ANGLE BRACKET
27EA          ; 0 # Ps       MATHEMATICAL LEFT DOUBLE ANGLE BRACKET
27EB          ; 0 # Pe       MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET
27EC          ; 0 # Ps       MATHEMATICAL LEFT WHITE TORTOISE SHELL BRACKET
27ED          ; 0 # Pe       MATHEMATICAL RIGHT WHITE TORTOISE SHELL BRACKET
27EE          ; 0 # Ps       MATHEMATICAL LEFT FLATTENED PARENTHESIS
27EF          ; 0 # Pe       MATHEMATICAL RIGHT FLATTENED PARENTHESIS
27F0..27FF    ; 0 # Sm  [16] UPWARDS QUADRUPLE ARROW..LONG RIGHTWARDS SQUIGGLE ARROW
2800..28FF    ; 0 # So [256] BRAILLE PATTERN BLANK..BRAILLE PATTERN DOTS-12345678
2900..2982    ; 0 # Sm [131] RIGHTWARDS TWO-HEADED ARROW WITH VERTICAL STROKE..Z NOTATION TYPE COLON
2983          ; 0 # Ps       LEFT WHITE CURLY BRACKET
2984          ; 0 # Pe       RIGHT WHITE CURLY BRACKET
2985          ; 0 # Ps       LEFT WHITE PARENTHESIS
2986          ; 0 # Pe       RIGHT WHITE PARENTHESIS
2987          ; 0 # Ps       Z NOTATION LEFT IMAGE BRACKET
2988          ; 0 # Pe       Z NOTATION RIGHT IMAGE BRACKET
2989          ; 0 # Ps       Z NOTATION LEFT BINDING BRACKET
298A          ; 0 # Pe       Z NOTATION RIGHT BINDING BRACKET
298B          ; 0 # Ps       LEFT SQUARE BRACKET WITH UNDERBAR
298C          ; 0 # Pe       RIGHT SQUARE BRACKET WITH UNDERBAR
298D          ; 0 # Ps       LEFT SQUARE BRACKET WITH TICK IN TOP CORNER
298E          ; 0 # Pe       RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
298F          ; 0 # Ps       LEFT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
2990          ; 0 # Pe       RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER
2991          ; 0 # Ps       LEFT ANGLE BRACKET WITH DOT
